id	student_id	subject_id	class_subject_id	section_id	attendance_date	login_time	status	recorded_by	recorded_at
5874	2015100053	14		6	2025-12-05	14:37:58	Late	9	2025-12-05 06:37:58
5874	2015100053	14		6	2025-12-05	14:37:49	Late	9	2025-12-05 06:37:49
5874	2015100053	14		6	2025-12-05	14:37:40	Late	9	2025-12-05 06:37:40
5874	2015100053	14		6	2025-12-05	14:37:31	Late	9	2025-12-05 06:37:31
5874	2015100053	14		6	2025-12-05	14:37:23	Late	9	2025-12-05 06:37:23
5874	2015100053	14		6	2025-12-05	14:37:14	Late	9	2025-12-05 06:37:14
5874	2015100053	14		6	2025-12-05	14:37:04	Late	9	2025-12-05 06:37:04
5874	2015100053	14		6	2025-12-05	14:36:54	Late	9	2025-12-05 06:36:54
4028	2025305791	14		6	2025-12-04			1	2025-12-03 18:26:31
4143	2025304540	14		6	2025-12-04			1	2025-12-03 18:26:31
4327	2025305942	14		6	2025-12-04			1	2025-12-03 18:26:31
4373	2025306230	14		6	2025-12-04			1	2025-12-03 18:26:31
4465	2025306594	14		6	2025-12-04			1	2025-12-03 18:26:31
4557	2025304527	14		6	2025-12-04			1	2025-12-03 18:26:31
4833	2025306282	14		6	2025-12-04			1	2025-12-03 18:26:31
4741	2025304554	14		6	2025-12-04	08:34:50	Present	1	2025-12-05 08:34:50
4580	2023302757	14		6	2025-12-04	08:33:08	Present	1	2025-12-05 08:33:08
4534	2025305907	14		6	2025-12-04	08:32:58	Present	1	2025-12-05 08:32:58
4396	2025306899	14		6	2025-12-04	08:32:50	Present	1	2025-12-05 08:32:50
4511	2025305861	14		6	2025-12-04	08:32:42	Present	1	2025-12-05 08:32:42
5032	2022310895	8		1	2025-12-04	19:59:55	Present	1	2025-12-04 19:59:55
5031	2022304991	8		1	2025-12-04	19:59:44	Present	1	2025-12-04 19:59:44
5030	2022310245	8		1	2025-12-04	19:59:38	Present	1	2025-12-04 19:59:38
5029	2022304841	8		1	2025-12-04	19:59:32	Present	1	2025-12-04 19:59:32
5028	2022304730	8		1	2025-12-04	19:59:26	Present	1	2025-12-04 19:59:26
5027	2022305244	8		1	2025-12-04	19:59:22	Present	1	2025-12-04 19:59:22
5026	2022305203	8		1	2025-12-04	19:59:15	Present	1	2025-12-04 19:59:15
5025	2022305040	8		1	2025-12-04	19:59:06	Present	1	2025-12-04 19:59:06
5024	2022304051	8		1	2025-12-04	19:58:59	Present	1	2025-12-04 19:58:59
5023	2022306426	8		1	2025-12-04	19:58:53	Present	1	2025-12-04 19:58:53
5022	2022305208	8		1	2025-12-04	19:58:46	Present	1	2025-12-04 19:58:46
4984	2022310247	8		1	2025-12-04	19:50:59	Present	1	2025-12-04 19:50:59
4981	2022304192	8		1	2025-12-04	19:50:37	Present	1	2025-12-04 19:50:37
4978	2022305036	8		1	2025-12-04	19:50:21	Present	1	2025-12-04 19:50:21
4961	2022304716	8		1	2025-12-04	19:48:30	Present	1	2025-12-04 19:48:30
4946	2022306538	8		1	2025-12-04	19:48:15	Late	5	2025-12-04 19:48:15
4959	2022310570	8		1	2025-12-04	19:47:59	Present	1	2025-12-04 19:47:59
4957	2022305059	8		1	2025-12-04	19:47:50	Present	1	2025-12-04 19:47:50
